inner_archive,json_path,image_id,filename,date,city_id,width,height,facility,state,defect,annotation_type,annotation_count
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210717_0000030520.json,0000018828,2_09_0_1_1_1_20210717_0000030520.jpg,20210717,1,2268,4032,2_09,0,정상,polygon,1
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210717_0000030540.json,0000018829,2_09_0_1_1_1_20210717_0000030540.jpg,20210717,1,2268,4032,2_09,0,정상,polygon,1
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210717_0000030701.json,0000018830,2_09_0_1_1_1_20210717_0000030701.jpg,20210717,1,2268,4032,2_09,0,정상,polygon,1
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210717_0000068310.json,0000018832,2_09_0_1_1_1_20210717_0000068310.jpg,20210717,1,2268,4032,2_09,0,정상,polygon,1
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210717_0000068314.json,0000018833,2_09_0_1_1_1_20210717_0000068314.jpg,20210717,1,2268,4032,2_09,0,정상,polygon,1
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210717_0000068329.json,0000018834,2_09_0_1_1_1_20210717_0000068329.jpg,20210717,1,2268,4032,2_09,0,정상,polygon,1
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210717_0000068352.json,0000018835,2_09_0_1_1_1_20210717_0000068352.jpg,20210717,1,2268,4032,2_09,0,정상,polygon,1
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210718_0000030726.json,0000018837,2_09_0_1_1_1_20210718_0000030726.jpg,20210718,1,2268,4032,2_09,0,정상,polygon,1
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210718_0000068367.json,0000018838,2_09_0_1_1_1_20210718_0000068367.jpg,20210718,1,2268,4032,2_09,0,정상,polygon,1
01.데이터/1.Training/라벨링데이터/TL8.zip,09. 점자블럭/0. 양호/2_09_0_1_1_1_20210719_0000009869.json,0000018839,2_09_0_1_1_1_20210719_0000009869.jpg,20210719,1,2268,4032,2_09,0,정상,polygon,1
